"Description of goods","日本商品名","Internal Data","Recommended buy price"
"On The Collection 1+2","On The Collection","43,295","4700"
"Pokernon Legens Arceus","Pokemon LEGENDS アルセウス","42.477","3450"
"Pokemon Shield","ポケットモンスターシールド","2009","3250"
"Pokemon Sword","ポケットモンスターソード","","3450"
"Pokemon Pikachu","ポケットモンスター Let's Go! ピカチュウ","82.813","4000"
"Pokemon Eevee","ポケットモンスター Let's Go! イーブイ","42.913","4100"
"Pokerman Shining Pearl","ポケットモンスター シャイニングパール","¥1.225","2200"
"Pokernon Scarlet","ポケットモンスター スカーレット","42.692","3800"
"Pokemon Scarlet DLC","ポケットモンスター スカーレット+ゼロの秘宝","45.80%","8300"
"Pokemon Violet","ポケットモンスターバイオレット"," 2.813","3600"
"Pokemon Violet DLC","ポケットモンスターバイオレット+ゼロの秘宝","457","18000"
"Pokemon brilliant diamond","ポケットモンスターブリリアントダイヤモンド","¥1.205","2200"
"Super Mario Wondar","スーパーマリオブラザーズワンダー","¥3,817","4300"
"Animal Crossing: New Horizons","「あつまれ どうぶつの森","4319","5000"
"Snipperclips: Cut It Out, Together","いっしょにチョキッとスニッパーズプラス","","3300"
"Luigi's Mansion 3","ルイージマンション3","","4200"
"Super Mano 3D World  Fury World","スーパーマリオ 3Dワールド+ フューリーワールド","516","3600"
"Super Mario 3D All-Stars","「スーパーマリオ 3Dコレクション"," 520","8000"
"Super Mario Odyssey","スーパーマリオ オデッセイ 版","EL299","4300"
"Super Marlo Party Mano Party 2 Superstars","スーパーマリオパーティ マリオパーティ スーパースターズ","¥4,348 13.094","4348"
"Mario Kart 8","マリオカート8デラックス","¥4.018","4150"
"Mario & Sonic at the Olympic Games Tokyo 2020","マリオ&ソニック AT 東京2020オリンピック","¥2,913","3000"
"New Super Mario Bros. U,","New スーパーマリオブラザーズロデラックス","63.670","3800"
"Splatoon 3","スプラトゥーン3","KASIG","3800"
"Pikmin 4","Pikmin 4","KL616",""
"Super Smash Bros.","大乱スマッシュブラザーズ SPECIAL"," 4,141","4000 5000"
"The Legend of Zelda: Breath of the Wild","ゼルダの伝説 ブレスオブザワイルド Nintendo Switch版","64,820","4600"
"The Legend of Zelda: Tears of the Kingdom","ゼルダの伝説 ティアーズオブザキングダム","H.404","4600"
"The Legend of Zelda: Link's Awakening","「ゼルダの伝説 夢をみる島","¥3,200","4000"
"It Takes Two","It Takes Two","¥2,712","3400"
"WarioWare Move It","超おどる メイドインワリオ","576","4000"
"Minecraft Dungeons Ultimate Edition","Minecraft Dungeons Ultimate Edition","1,764","3800"
"Minecraft: Bedrock Edition","Minecraft Nintendo Switch版","¥2,813","3200"
"Stardew Valley","スターデューバレー コレクターズ・エディション Nintendo Switch版","¥0",""
"Kirby and the Forgotten Land","星のカービィ ディスカバリー","¥4,160","4100"
"Kirby Star Allies","星のカービィ スターアライズ","¥3,501","3500"
"Kirbys Return to Dream Land","星のカービィWii デラックス","¥4,103","4100"
"Yoshi's Crafted World","ヨッシークラフトワールド","¥4,299","4500"
"Xenoblade Chronicles 3","Xenoblade3","¥1,600","3000"
"sports","Switch sports","¥4,423","4800"
"Dynasty Warriors 8","三國無双7 with 猛将伝 DX","299","5500"
"Minecraft Story Mode Season2","マインクラフト:ストーリーモード シーズン2","¥502","3000"
"New Pokemon Snap","New ポケモンスナップ","¥4,902","5200"
"Super Mano Party Jamboree","スーパーマリオパーティ ジャンボリー","¥3,114","4200"
"Dave","デイヴ・ザ・ダイバー","¥8,338","No stock online"
"NS2 Donkey Kong Bananza","ドンキーコングバナンザ","¥5,605","5700"
"NS2 The Legend of Zelda, Breath of the Wild","ゼルダの伝説 ブレスオブザワイルド Nintendo Switch 2 Edition","¥6,228","6200"
"NS2 Hades2","HADES II Nintendo Switch 2 Edition","¥4,291","4800"
"NS2 Mario Kart World","マリオカートワールド","¥5,402","8000"
"NS2 The Legend of Zelda2: Tears of the Kingdom","ゼルダの伝説 ディアーズ オブ ザ キングダム Nintendo Switch 2 Edition","¥6,228","6300"
"NS2 Cyberpunk 2077: Ultimate Edition","サイバーパンク2077 アルティメットエディション","¥5,726","6100"
"NS2 Kirby and the Forgotten Land-NS2 Edition + Star-Crossed World","のカービィディスカバリー Nintendo Switch 2 Edition + スターリーワールド","¥102","6000"
"NS2 Super Mario Party Jamboree + TV","スーパーマリオパーティ ジャンボリー Nintendo Switch 2 Edition + ジャンポリーTV","6,208","7000"
